query_id,query,nDCG_finetuned,nDCG_bm25,nDCG_congelado,mejor_baseline,delta_vs_mejor_baseline
4330,4guysclub sin cordones,0.568808955610168,0.36114500749459505,0.39391698095175504,0.39391698095175504,0.17489197465841294
4417,4patas sin ruedas 40x30,0.43067655807339306,0.0,0.3562071871080222,0.3562071871080222,0.07446937096537087
4449,4x 50 ml liquido sin nicotina,0.9764093402750902,0.6684881776649959,0.7715359168226731,0.7715359168226731,0.2048734234524171
4473,4xl hombre camiseta sin mangas,0.9337457765456111,0.9363792118010483,0.8669479898642711,0.9363792118010483,-0.002633435255437244
4532,5 lenguajes del amor,1.0,0.9363792118010483,1.0,1.0,0.0
4550,5 ojas de papl de lija con velcro sin agujeros grano 40,0.570404489286039,0.2172607128522299,0.2200917662980802,0.2200917662980802,0.35031272298795885
4642,50 mm canon,0.6969383549984333,0.46785915648013926,0.7917063341896683,0.7917063341896683,-0.09476797919123503
4905,6 tb nas,0.9363792118010483,0.6816808362189439,0.4818809355796683,0.6816808362189439,0.2546983755821044
5010,64tb,0.8572048559638626,0.7151857987862358,0.7967610662472993,0.7967610662472993,0.06044378971656339
5170,72 piezas azulejos adhesivos 15x15,0.5104418534059961,0.36094793708279127,0.4199990716259791,0.4199990716259791,0.09044278178001702
5248,8 cctv,0.5215784827120727,0.8630152897016883,0.7162874455029682,0.8630152897016883,-0.34143680698961554
5358,85 sony,1.0,0.510069131458292,0.7827392871477703,0.7827392871477703,0.2172607128522297
5378,8gb 512gb,1.0,1.0,0.9216017310213247,1.0,0.0
5385,8k tv,1.0,1.0,0.9669850519151656,1.0,0.0
5814,a doa metros de ti,0.9705437052559006,0.7456919575934262,0.7618870795651186,0.7618870795651186,0.20865662569078203
5997,a7 iii,1.0,0.39564672360221187,0.45560514958746035,0.45560514958746035,0.5443948504125397
6003,a7c sony,0.6508205185601091,0.1480409554829326,0.6105456988825855,0.6105456988825855,0.040274819677523666
6050,abanicos seda pintado a mano,1.0,0.9337457765456111,1.0,1.0,0.0
6071,abercrombie & fitch hombre,0.727329844310522,0.8553475075669357,0.7859162856301584,0.8553475075669357,-0.12801766325641373
6074,abitacion juvenil completo decoracion,0.8454256604216018,0.9337457765456111,0.9148568823583791,0.9337457765456111,-0.08832011612400925
6099,abridores de vino profesional,1.0,1.0,1.0,1.0,0.0
6102,abrigo de pelo de mujer de invierno,0.7827392871477703,0.7877736340270853,0.7948833326720566,0.7948833326720566,-0.012144045524286273
6105,abrigo hombre elegante,0.9216017310213247,1.0,0.88995411685096,1.0,-0.0783982689786753
6108,abrigo militar hombre,0.7720617383222419,0.7534494445524139,0.8486026589039901,0.8486026589039901,-0.07654092058174822
6110,abrigo niño,0.9216017310213247,1.0,0.92663607790064,1.0,-0.0783982689786753
6114,abrigos de fiesta largos,0.7791714369672128,0.6911279212606076,0.8512360941594275,0.8512360941594275,-0.07206465719221467
6117,abrigos mujer gris,1.0,1.0,1.0,1.0,0.0
6119,abrigos para niños de 10 años,0.8048109992093391,0.8115558478722846,0.7630946912803437,0.8115558478722846,-0.006744848662945557
6122,abrotano macho,0.8701249883466594,0.727329844310522,0.8701249883466594,0.8701249883466594,0.0
6194,accesorio picador batidora braun,0.8359212563489483,0.5383087035438704,0.5737957140072372,0.5737957140072372,0.26212554234171115
6197,accesorios baño,1.0,1.0,1.0,1.0,0.0
6200,accesorios bra efficient,1.0,0.9337457765456111,0.9337457765456111,0.9337457765456111,0.06625422345438892
6201,accesorios camara deportiva victure,0.5462574254588146,0.5462574254588146,0.575073986183329,0.575073986183329,-0.02881656072451433
6203,accesorios coche,1.0,1.0,1.0,1.0,0.0
6207,accesorios de pinzas para buffet,1.0,1.0,1.0,1.0,0.0
6211,accesorios mtb,1.0,1.0,1.0,1.0,0.0
6217,accesorios para moto,0.9148568823583791,1.0,1.0,1.0,-0.08514311764162086
6222,accesorios volante g29,1.0,1.0,1.0,1.0,0.0
6223,accesoruios coche,1.0,1.0,1.0,1.0,0.0
6237,accolmile,0.7827392871477703,0.9337457765456111,0.88995411685096,0.9337457765456111,-0.15100648939784078
6238,accordian,0.7600791051976192,0.6378891765242929,0.6489315753318466,0.6489315753318466,0.11114752986577259
6274,aceite de vainilla,1.0,1.0,1.0,1.0,0.0
6275,aceite esencial lavanda,1.0,1.0,1.0,1.0,0.0
6278,aceite facial antiedad,1.0,1.0,1.0,1.0,0.0
6280,aceite para persianas,0.8187026689573268,0.23722561126224387,0.46733433167771476,0.46733433167771476,0.35136833727961203
6283,aceitera acero inoxidable,1.0,0.9363792118010483,0.8572048559638626,0.9363792118010483,0.06362078819895167
6300,acer conceptd 500,0.0,0.5,0.0,0.5,-0.5
6321,acer triton 300,1.0,0.5706417189553201,0.5706417189553201,0.5706417189553201,0.4293582810446799
6327,acesorios victure,0.4673791184803735,0.640591412903011,0.5559026721867444,0.640591412903011,-0.17321229442263752
6330,acetona pura esmalte permanente,0.8553475075669357,1.0,1.0,1.0,-0.14465249243306433
6347,acido para baterias,0.9619991470595832,0.8318724637288826,0.787702056960637,0.8318724637288826,0.13012668333070065
6391,acrilico cover para uñas,0.5552448576790283,0.5579780239524,0.7167674835027339,0.7167674835027339,-0.16152262582370558
6445,activador para hidroimpresion,0.9619991470595832,0.5883300173403988,1.0,1.0,-0.038000852940416774
6471,acuarelas niños lavables,0.9709286432396583,0.8318724637288826,0.876848805629635,0.876848805629635,0.09407983761002336
6491,acustica,1.0,1.0,1.0,1.0,0.0
6506,adadtador jack,1.0,1.0,1.0,1.0,0.0
6522,adaptador cable router coaxial,1.0,1.0,0.5706417189553201,1.0,0.0
6529,adaptador enchufe triple,0.9216017310213247,0.92663607790064,0.9148568823583791,0.92663607790064,-0.005034346879315255
6532,adaptador hdmi para ipad,1.0,1.0,1.0,1.0,0.0
6534,adaptador iphone 7 plus,1.0,0.421179651918213,0.7773228980348948,0.7773228980348948,0.22267710196510515
